Close,Open,High,Low,Date,Daily return,Target,Running_Max,Drawdown,Max_Drawdown,Cumulative_Max
230.04,238.66,238.92,228.18,24/08/2023,-2.879338006,0,293.34,-21.57905502,-28.23469007,293.34
238.59,231.31,239,230.35,25/08/2023,3.716744914,1,293.34,-18.66434854,-28.23469007,293.34
238.82,242.58,244.38,235.35,28/08/2023,0.096399681,0,293.34,-18.58594123,-28.23469007,293.34
257.18,238.58,257.48,237.77,29/08/2023,7.687798342,1,293.34,-12.32699257,-28.23469007,293.34
256.9,254.2,260.51,250.59,30/08/2023,-0.108873163,1,293.34,-12.42244494,-28.23469007,293.34
258.08,255.98,261.18,255.05,31/08/2023,0.459322694,1,293.34,-12.02018136,-28.23469007,293.34
245.01,257.26,259.08,242.01,01/09/2023,-5.064321141,0,293.34,-16.47576191,-28.23469007,293.34
256.49,245,258,244.86,05/09/2023,4.68552304,1,293.34,-12.5622145,-28.23469007,293.34
251.92,255.14,255.39,245.06,06/09/2023,-1.781745877,0,293.34,-14.12013363,-28.23469007,293.34
251.49,245.07,252.81,243.27,07/09/2023,-0.170689108,1,293.34,-14.26672121,-28.23469007,293.34
248.5,251.22,256.52,246.67,08/09/2023,-1.188914072,0,293.34,-15.28601623,-28.23469007,293.34
273.58,264.27,274.85,260.61,11/09/2023,10.09255533,1,293.34,-6.736210541,-28.23469007,293.34
267.48,270.76,278.39,266.6,12/09/2023,-2.229695153,0,293.34,-8.815708734,-28.23469007,293.34
271.3,270.07,274.98,268.1,13/09/2023,1.42814416,1,293.34,-7.513465603,-28.23469007,293.34
276.04,271.32,276.71,270.42,14/09/2023,1.747143384,1,293.34,-5.897593237,-28.23469007,293.34
274.39,277.55,278.98,271,15/09/2023,-0.597739458,0,293.34,-6.460080453,-28.23469007,293.34
265.28,271.16,271.44,263.76,18/09/2023,-3.32009184,0,293.34,-9.565691689,-28.23469007,293.34
266.5,264.35,267.85,261.2,19/09/2023,0.459891435,1,293.34,-9.14979205,-28.23469007,293.34
262.59,267.04,273.93,262.46,20/09/2023,-1.467166979,0,293.34,-10.4827163,-28.23469007,293.34
255.7,257.85,260.86,254.21,21/09/2023,-2.623862295,0,293.34,-12.83152656,-28.23469007,293.34
244.88,257.4,257.79,244.48,22/09/2023,-4.231521314,0,293.34,-16.52007909,-28.23469007,293.34
246.99,243.38,247.1,238.31,25/09/2023,0.861646521,1,293.34,-15.80077726,-28.23469007,293.34
244.12,242.98,249.55,241.66,26/09/2023,-1.161990364,1,293.34,-16.77916411,-28.23469007,293.34
240.5,244.26,245.33,234.58,27/09/2023,-1.482877273,0,293.34,-18.01322697,-28.23469007,293.34
246.38,240.02,247.55,238.65,28/09/2023,2.444906445,1,293.34,-16.00872707,-28.23469007,293.34
250.22,250,254.77,246.35,29/09/2023,1.558568066,1,293.34,-14.69966592,-28.23469007,293.34
251.6,244.81,254.28,242.62,02/10/2023,0.551514667,1,293.34,-14.22922206,-28.23469007,293.34
246.53,248.61,250.02,244.45,03/10/2023,-2.015103339,0,293.34,-15.95759187,-28.23469007,293.34
261.16,248.14,261.86,247.6,04/10/2023,5.934369042,1,293.34,-10.97020522,-28.23469007,293.34
260.05,260,263.6,256.25,05/10/2023,-0.425026803,1,293.34,-11.34860571,-28.23469007,293.34
260.53,253.98,261.65,250.65,06/10/2023,0.184579888,1,293.34,-11.18497307,-28.23469007,293.34
259.67,255.31,261.36,252.05,09/10/2023,-0.330096342,1,293.34,-11.47814822,-28.23469007,293.34
